name,price,status,shipping,freereturns,itemssold
Apple MacBook Pro 13 TOUCH BAR OS2020 Retina Laptop 3.5GHz i5 16GB 512GB SSD,87400,Pre-Owned,0,True,0
Apple MacBook Pro 15 inch Laptop | QUAD CORE i7 | 16GB RAM | MacOS | 1TB SSD!,63900,Pre-Owned,0,True,0
2015 Apple MacBook Pro 13 inch Retina / Dual Core i5/ 8GB / 128GB SSD OS Big Sur,39995,Refurbished,0,True,0
New ListingAPPLE MACBOOK PRO 13 2017 SPACE GRAY TOUCH BAR i5 3.1GHz 8GB RAM 256GB SSD A1706,68500,Pre-Owned,1500,False,0
New ListingMid 2015 Retina Macbook Pro (Big Sur i7 2.80GHz 500GB Storage 16GB RAM),39000,Pre-Owned,1800,False,0
"New ListingApple MacBook Pro 2011 13"" Intel i5 2.4GHZ 4GB 500GB SSD",12500,Refurbished,1265,False,0
"New ListingApple 13"" MacBook Air A1466 Early-2014 Core i5 1.4GHz 4GB RAM 128GB SSD Big Sur",19900,Pre-Owned,1625,False,0
"Apple MacBook Pro 15"" | 2.8 i7 16GB 512GB SSD OSX 2020 Refurbished Big Sur",56900,Refurbished,0,True,25
MacBook Pro 15 inch Laptop / QUAD CORE i7 / 1TB SSD / Retina / 3 YR / MacOS2018,65800,Pre-Owned,0,True,0
"MACBOOK PRO 15""  | 2TB | 8GB RAM | WARRANTY | CORE i7 APPLE LAPTOP |  MAXED",50500,Refurbished,0,True,0
"Apple MacBook Pro MC725LL/A Core i7 2.2 17"" 4GB 1TB LOADED! ",24933,Pre-Owned,0,True,0
"Apple 13"" MacBook up to 2TB HDD or 480GB SSD +RETURN FREE IF UNSATISFIED",10000,Refurbished,0,True,0
APPLE MACBOOK AIR 13 INCH LAPTOP / TURBO BOOST / 3 YEAR WARRANTY / 128GB SSD,37900,Pre-Owned,0,True,367
"Apple MacBook Pro 13"" Laptop | 1TB SSD | 16GB RAM | OSX-2019 | WARRANTY ! ! !",44886,Refurbished,0,True,0
"New Listing2015 Apple MacBook Pro 13"" Retina/ 2.9 Ghz/ i5/ 8GB /500GB SSD OS Big Sur",39800,Pre-Owned,1500,False,0
"Apple MacBook Air Laptop Core i7 2.2GHz 8GB RAM 256GB SSD 13"" MMGG2LL/A (2015)",32997,Refurbished,0,True,66
"Apple MacBook Pro 🍎 13.3"" i5 2.3GHz 8GB RAM 256GB Space Gray MPXT2LL/A 2017",49999,Refurbished,0,True,48
"Apple MacBook Pro 16"" 8 Core i9 1TB SSD MVVM2LL/A AMD Radeon 5500M 2019 Model",164900,Open Box,0,True,452
A1465 MacBook Air 2015 2.2GHz i7 5650U 8GB RAM 128GB SSD MacOS 10.15 FREE CASE,30998,Refurbished,0,True,0
